DATE,BAMLC0A0CM
20-12-2007,2.04
21-12-2007,2.03
24-12-2007,2.03
25-12-2007,.
26-12-2007,2.03
27-12-2007,2.03
28-12-2007,2.03
31-12-2007,2.03
01-01-2008,.
02-01-2008,2.05
03-01-2008,2.06
04-01-2008,2.09
07-01-2008,2.11
08-01-2008,2.12
09-01-2008,2.17
10-01-2008,2.17
11-01-2008,2.17
14-01-2008,2.16
15-01-2008,2.18
16-01-2008,2.19
17-01-2008,2.22
18-01-2008,2.24
21-01-2008,2.24
22-01-2008,2.31
23-01-2008,2.33
24-01-2008,2.3
25-01-2008,2.3
28-01-2008,2.29
29-01-2008,2.28
30-01-2008,2.29
31-01-2008,2.3
01-02-2008,2.3
04-02-2008,2.31
05-02-2008,2.31
06-02-2008,2.31
07-02-2008,2.33
08-02-2008,2.34
11-02-2008,2.36
12-02-2008,2.37
13-02-2008,2.38
14-02-2008,2.38
15-02-2008,2.39
18-02-2008,2.39
19-02-2008,2.39
20-02-2008,2.4
21-02-2008,2.41
22-02-2008,2.42
25-02-2008,2.42
26-02-2008,2.43
27-02-2008,2.44
28-02-2008,2.47
29-02-2008,2.52
03-03-2008,2.55
04-03-2008,2.6
05-03-2008,2.64
06-03-2008,2.72
07-03-2008,2.75
10-03-2008,2.8
11-03-2008,2.84
12-03-2008,2.86
13-03-2008,2.92
14-03-2008,2.97
17-03-2008,3.03
18-03-2008,3.02
19-03-2008,3.03
20-03-2008,3.05
21-03-2008,.
24-03-2008,3.01
25-03-2008,2.99
26-03-2008,2.98
27-03-2008,2.99
28-03-2008,2.99
31-03-2008,3
01-04-2008,2.98
02-04-2008,2.94
03-04-2008,2.92
04-04-2008,2.89
07-04-2008,2.85
08-04-2008,2.84
09-04-2008,2.86
10-04-2008,2.86
11-04-2008,2.87
14-04-2008,2.87
15-04-2008,2.85
16-04-2008,2.84
17-04-2008,2.82
18-04-2008,2.77
21-04-2008,2.74
22-04-2008,2.72
23-04-2008,2.7
24-04-2008,2.68
25-04-2008,2.67
28-04-2008,2.65
29-04-2008,2.63
30-04-2008,2.6
01-05-2008,2.57
02-05-2008,2.53
05-05-2008,2.52
06-05-2008,2.52
07-05-2008,2.52
08-05-2008,2.53
