Reactor Code,Reactor Name,Event,Mass,px1,py1,pz1
R1,Reactor_149181,1727093089,5,-4.28528,-3.0301,1.08615
R1,Reactor_149181,1727086545,10,-1.51213,2.19144,9.16378
R1,Reactor_149181,1727377897,157,12.2241,33.9219,152.775
R1,Reactor_149181,1727397785,9,-1.8463,4.26072,-7.24853
R1,Reactor_149181,1727894874,2,-1.09872,2.03899,-0.26474
R1,Reactor_149181,1727902219,3,-1.70057,-1.85916,1.63892
R2,Reactor_148029,283359551,70,-5.5832,17.5003,-67.3188
R2,Reactor_148029,283594079,26,2.13716,-26.1156,-0.48773
R2,Reactor_148029,283299017,5,2.44668,3.01155,3.5583
R2,Reactor_148029,283454505,36,-11.6773,32.5941,-8.56518
R2,Reactor_148029,283619393,9,-3.1759,0.441519,8.50991
R2,Reactor_148029,284154251,15,-13.8354,0.013751,6.33985
R2,Reactor_148029,284187171,48,-18.3713,3.42209,-44.1103
R2,Reactor_148029,284467795,35,-23.2446,6.13257,25.334
R3,Reactor_148030,9830001,22,13.083,-1.52425,17.1959
R3,Reactor_148030,10341146,94,11.6597,-17.2893,91.9858
R3,Reactor_148030,9763147,52,-27.698,-18.1216,40.5281
R3,Reactor_148030,9812035,19,10.5401,-15.6068,0.713237
