,FIPS,County_2012,Total Votes_2012,Democrat_2012,Republican_2012,Total Votes_2016,Democrat_2016,Republican_2016,2012,2016,Swap
0,8001,"Adams County, CO",161495,90843,66531,193677,96558,80082,24312,16476,0
1,8003,"Alamosa County, CO",6671,3782,2693,6939,3189,3046,1089,143,0
2,8005,"Arapahoe County, CO",254746,135433,114232,303048,159885,117053,21201,42832,0
3,8007,"Archuleta County, CO",6646,2637,3831,7339,2500,4264,-1194,-1764,0
4,8009,"Baca County, CO",2096,462,1554,2153,283,1753,-1092,-1470,0
5,8011,"Bent County, CO",1881,778,1053,1927,590,1188,-275,-598,0
6,8013,"Boulder County, CO",173207,120485,48526,188145,132334,41396,71959,90938,0
7,8014,"Broomfield County, CO",32191,16653,14765,37690,19731,14367,1888,5364,0
8,8015,"Chaffee County, CO",10217,4967,4949,11250,4888,5391,18,-503,1
9,8017,"Cheyenne County, CO",1045,162,858,1102,132,925,-696,-793,0
10,8019,"Clear Creek County, CO",5610,3041,2381,5866,2729,2575,660,154,0
11,8021,"Conejos County, CO",4027,2180,1794,4022,1771,1914,386,-143,1
12,8023,"Costilla County, CO",1804,1317,440,1848,1125,588,877,537,0
13,8025,"Crowley County, CO",1502,535,924,1527,339,1079,-389,-740,0
14,8027,"Custer County, CO",2697,862,1776,3066,797,2061,-914,-1264,0
15,8029,"Delta County, CO",15681,4542,10762,16790,4087,11655,-6220,-7568,0
16,8031,"Denver County, CO",285564,209759,69755,331852,244551,62690,140004,181861,0
17,8033,"Dolores County, CO",1218,329,838,1255,242,944,-509,-702,0
18,8035,"Douglas County, CO",150160,54093,93930,187500,68657,102573,-39837,-33916,0
19,8037,"Eagle County, CO",22374,12598,9317,25223,14099,8990,3281,5109,0
20,8041,"El Paso County, CO",275604,104989,163819,318968,108010,179228,-58830,-71218,0
21,8039,"Elbert County, CO",13993,3542,10148,15980,3134,11705,-6606,-8571,0
22,8043,"Fremont County, CO",20258,6644,13087,21973,5297,15122,-6443,-9825,0
23,8045,"Garfield County, CO",23695,10989,12159,26470,11271,13132,-1170,-1861,0
24,8047,"Gilpin County, CO",3271,1854,1320,3576,1634,1566,534,68,0
