,T_id,Units,Dollars
0,CBC,30,13
1,1BA,25,20
2,1CA,21,13
3,22C,17,16
4,211,12,27
5,CCA,18,16
6,D2A,15,10
7,CDA,24,24
8,CAC,13,16
9,BD3,25,10
10,B33,30,13
11,A3C,30,10
12,DC2,21,27
13,C21,23,11
14,21D,26,29
15,122,11,19
16,1CB,27,16
17,AB2,22,27
18,CA2,20,27
19,C33,28,20
20,A3A,28,11
21,DD2,10,24
22,D23,28,18
23,3DB,12,29
24,AAC,17,13
25,2B3,12,30
26,1BC,25,22
27,DBB,24,24
28,C2D,10,17
29,2D2,27,16
30,A21,14,21
31,3AD,11,18
32,DA1,11,18
33,D2B,12,27
34,323,11,29
35,111,21,11
36,3B1,30,22
37,3C1,17,15
38,221,24,23
39,112,20,16
40,23C,22,11
41,2C3,20,21
42,BD2,16,30
43,1B2,24,11
44,D21,28,27
