station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys
72,2,5,32,0,1,1,1,7/16/2018 13:57,0
79,30,0,3,0,1,1,1,7/16/2018 13:52,0
82,4,0,23,0,1,1,1,7/16/2018 13:40,0
83,35,2,25,0,1,1,1,7/16/2018 13:26,0
119,11,0,8,0,1,1,1,7/16/2018 13:55,0
120,1,0,18,0,1,1,1,7/16/2018 12:48,0
127,8,3,20,0,1,1,1,7/16/2018 14:03,0
128,26,2,2,0,1,1,1,7/16/2018 13:57,0
143,7,0,17,0,1,1,1,7/16/2018 14:03,0
144,17,0,2,0,1,1,1,7/16/2018 13:54,0
146,11,1,27,0,1,1,1,7/16/2018 14:02,0
150,1,2,26,0,1,1,1,7/16/2018 13:58,0
151,15,0,18,0,1,1,1,7/16/2018 13:58,1
152,0,0,24,0,1,0,0,4/10/2018 9:15,0
157,6,0,17,0,1,1,1,7/16/2018 13:53,0
161,0,0,3,0,0,0,0,7/5/2018 7:53,0
164,36,2,9,0,1,1,1,7/16/2018 13:59,0
167,0,5,40,0,1,1,1,7/16/2018 14:01,0
168,26,3,18,0,1,1,1,7/16/2018 14:00,0
173,0,2,29,0,1,1,1,7/16/2018 13:59,0
174,3,0,27,0,1,1,1,7/16/2018 14:00,0
195,43,0,2,0,1,1,1,7/16/2018 14:01,0
212,15,0,13,0,1,1,1,7/16/2018 13:58,0
216,4,1,18,0,1,1,1,7/16/2018 13:30,0
217,38,1,0,0,1,1,1,7/16/2018 13:52,1
223,0,2,31,0,1,1,1,7/16/2018 13:53,0
228,49,0,6,0,1,1,1,7/16/2018 14:01,0
229,5,0,18,0,1,1,1,7/16/2018 13:56,0
232,17,0,6,0,1,1,1,7/16/2018 14:03,1
236,1,3,35,0,1,1,1,7/16/2018 14:00,0
237,6,2,31,0,1,1,1,7/16/2018 14:03,0
238,2,1,28,0,1,1,1,7/16/2018 14:00,0
239,16,0,15,0,1,1,1,7/16/2018 13:50,0
241,1,1,21,0,1,1,1,7/16/2018 13:58,0
242,19,3,1,0,1,1,1,7/16/2018 13:44,0
243,31,0,0,0,1,1,1,7/16/2018 13:03,0
244,2,0,29,0,1,1,1,7/16/2018 13:57,0
245,1,2,20,0,1,1,1,7/16/2018 13:15,0
247,4,0,16,0,1,1,1,7/16/2018 14:02,0
248,14,3,6,0,1,1,1,7/16/2018 13:55,0
249,24,0,2,1,1,1,1,7/16/2018 13:53,0
251,1,0,26,0,1,1,1,7/16/2018 14:01,0
252,7,0,17,0,1,1,1,7/16/2018 13:51,0
253,2,0,53,0,1,1,1,7/16/2018 14:03,0
254,2,0,29,0,1,1,1,7/16/2018 13:54,0
257,35,0,4,0,1,1,1,7/16/2018 14:03,0
258,1,0,22,0,1,1,1,7/16/2018 14:03,0
259,25,1,13,0,1,1,1,7/16/2018 13:57,1
260,0,0,0,4,1,0,0,6/4/2018 14:50,0
261,12,1,14,0,1,1,1,7/16/2018 13:44,0
262,22,2,0,0,1,1,1,7/16/2018 13:59,0
264,23,1,3,0,1,1,1,7/16/2018 13:55,0
265,5,2,28,0,1,1,1,7/16/2018 13:58,0
266,2,0,22,0,1,1,1,7/16/2018 13:50,0
267,9,1,47,0,1,1,1,7/16/2018 13:49,0
268,23,1,3,0,1,1,1,7/16/2018 14:02,0
270,3,0,20,0,1,1,1,7/16/2018 14:01,0
274,21,1,9,0,1,1,1,7/16/2018 13:52,0
275,16,0,3,0,1,1,1,7/16/2018 13:56,0
276,24,0,1,0,1,1,1,7/16/2018 13:43,0
278,13,1,5,0,1,1,1,7/16/2018 13:46,0
279,9,2,25,0,1,1,1,7/16/2018 13:51,1
280,4,0,27,0,1,1,1,7/16/2018 14:00,0
281,21,2,34,0,1,1,0,7/16/2018 14:03,1
282,21,1,5,0,1,1,1,7/16/2018 14:02,0
285,1,1,49,0,1,1,1,7/16/2018 14:03,0
289,11,0,8,0,1,1,1,7/16/2018 13:20,0
291,2,0,18,0,1,1,1,7/16/2018 13:56,0
293,9,5,41,0,1,1,1,7/16/2018 14:03,0
295,2,0,22,0,1,1,1,7/16/2018 14:00,0
296,1,0,34,0,1,1,1,7/16/2018 14:03,0
297,1,0,26,0,1,1,1,7/16/2018 13:43,0
298,5,1,29,0,1,1,1,7/16/2018 13:55,0
301,0,1,36,0,1,1,1,7/16/2018 13:09,0
302,0,1,22,0,1,1,1,7/16/2018 14:02,0
303,28,1,2,0,1,1,1,7/16/2018 13:58,0
304,21,0,12,0,1,0,0,7/16/2018 13:57,1
305,28,0,5,0,1,1,1,7/16/2018 14:02,0
306,16,0,1,0,1,1,1,7/16/2018 13:38,0
307,8,0,22,0,1,1,1,7/16/2018 14:03,0
308,4,1,22,0,1,1,1,7/16/2018 14:03,0
309,37,4,0,0,1,1,1,7/16/2018 13:59,0
310,11,3,22,0,1,1,1,7/16/2018 13:54,0
311,1,0,30,0,1,1,1,7/16/2018 13:57,0
312,2,0,29,0,1,1,1,7/16/2018 13:59,0
313,4,0,19,0,1,1,1,7/16/2018 13:27,0
314,13,0,26,0,1,1,1,7/16/2018 14:00,0
315,28,0,1,0,1,1,1,7/16/2018 14:02,0
316,22,3,16,2,1,1,1,7/16/2018 14:03,0
317,0,1,26,0,1,0,0,7/16/2018 11:12,0
