title,url,subcategory,time,comments,forwards
Mindblowing: advances in brain tech spur push for 'neuro-rights',https://techxplore.com/news/2021-05-mindblowing-advances-brain-tech-spur.html,Hi Tech & Innovation,1 hour ago,0,16
Economic downturn fueling Argentine crypto craze,https://techxplore.com/news/2021-05-economic-downturn-fueling-argentine-crypto.html,Business,1 hour ago,0,16
Examining how humans develop trust towards embodied virtual agents,https://techxplore.com/news/2021-05-humans-embodied-virtual-agents.html,Computer Sciences,1 hour ago,0,16
"Team develops stable, efficient, anode-free sodium battery",https://techxplore.com/news/2021-05-team-stable-efficient-anode-free-sodium.html,Electronics & Semiconductors,1 hour ago,0,16
APT actors exploit authentication bypass techniques and Pulse Secure Zero-Day,https://techxplore.com/news/2021-05-apt-actors-exploit-authentication-bypass.html,Security,1 hour ago,0,16
Team creates powerful computational tool to help researchers rapidly screen molecules for anti-COVID properties,https://techxplore.com/news/2021-05-team-powerful-tool-rapidly-screen.html,Computer Sciences,1 hour ago,0,16
Intel: $3.5B investment is critical to microchip future,https://techxplore.com/news/2021-05-intel-35b-investment-critical-microchip.html,Business,1 hour ago,0,16
"Apple reportedly looking at blood sugar, blood pressure and alcohol monitoring for future Apple Watches",https://techxplore.com/news/2021-05-apple-reportedly-blood-sugar-pressure.html,Consumer & Gadgets,1 hour ago,0,16
"Installing solar panels over California's canals could yield water, land, air and climate payoffs",https://techxplore.com/news/2021-05-solar-panels-california-canals-yield.html,Energy & Green Tech,1 hour ago,0,16
Clean megaprojects divide surprise group: Environmentalists,https://techxplore.com/news/2021-05-megaprojects-group-environmentalists.html,Energy & Green Tech,1 hour ago,0,16
Smart finger ring with integrated RFID chip,https://techxplore.com/news/2021-05-smart-finger-rfid-chip.html,Consumer & Gadgets,1 hour ago,0,16
Longer range for electric cars,https://techxplore.com/news/2021-05-longer-range-electric-cars.html,Energy & Green Tech,1 hour ago,0,16
Renewable energy sources: Toward large-scale thermal storage systems,https://techxplore.com/news/2021-05-renewable-energy-sources-large-scale-thermal.html,Energy & Green Tech,1 hour ago,0,16
"Electric vehicle batteries: The older they get, the safer they are",https://techxplore.com/news/2021-05-electric-vehicle-batteries-older-safer.html,Energy & Green Tech,1 hour ago,0,16
What can hackers do with your mobile number?,https://techxplore.com/news/2021-05-hackers-mobile.html,Telecom,1 hour ago,0,16
Hydrogen power plant for the garden,https://techxplore.com/news/2021-05-hydrogen-power-garden.html,Consumer & Gadgets,1 hour ago,0,16
Empowering citizens for successful energy transitions,https://techxplore.com/news/2021-05-empowering-citizens-successful-energy-transitions.html,Energy & Green Tech,1 hour ago,0,16
"Sex bots, virtual friends, VR lovers: Tech is changing the way we interact, and not always for the better",https://techxplore.com/news/2021-05-sex-bots-virtual-friends-vr.html,Other,1 hour ago,0,16
Disinfection robot: Value created by linking up to building data,https://techxplore.com/news/2021-05-disinfection-robot-linking.html,Robotics,1 hour ago,0,16
"Apple, Epic in heated US court clash over app market",https://techxplore.com/news/2021-05-apple-epic-court-clash-app.html,Business,1 hour ago,0,16
